Route,Year,Month,Revenue_Passengers,Aircraft_Trips,Rev Pax,Distance,RPKs,ASKs,Seats,
ADL-MEL,2014,8,"193,133","1,613",78.1,643,"124,184,519","159,059,553","247,371", 
ADL-MEL,2014,9,"185,150","1,582",74.2,643,"119,051,450","160,481,869","249,583", 
ADL-MEL,2014,10,"207,283","1,634",82.5,643,"133,282,969","161,601,332","251,324", 
ADL-MEL,2014,11,"187,550","1,523",81.6,643,"120,594,650","147,756,256","229,792", 
ADL-MEL,2014,12,"193,609","1,582",79.5,643,"124,490,587","156,515,845","243,415", 
ADL-MEL,2015,1,"177,599","1,520",75.2,643,"114,196,157","151,875,957","236,199",
ADL-MEL,2015,2,"174,781","1,441",80,643,"112,384,183","140,500,644","218,508", 
ADL-MEL,2015,3,"200,299","1,620",80.5,643,"128,792,257","160,040,128","248,896", 
ADL-MEL,2015,4,"205,005","1,616",80.3,643,"131,818,215","164,065,951","255,157", 
ADL-MEL,2015,5,"186,943","1,611",74.9,643,"120,204,349","160,382,847","249,429", 
ADL-MEL,2015,6,"175,225","1,555",71.7,643,"112,669,675","157,143,413","244,391",
ADL-MEL,2015,7,"202,394","1,652",77.7,643,"130,139,342","167,484,782","260,474",
ADL-MEL,2015,8,"194,278","1,600",77.3,643,"124,920,754","161,666,275","251,425",
ADL-MEL,2015,9,"188,739","1,611",74.8,643,"121,359,177","162,189,677","252,239",
ADL-MEL,2015,10,"207,820","1,657",80.9,643,"133,628,260","165,132,688","256,816",
ADL-MEL,2015,11,"199,688","1,580",82.6,643,"128,399,384","155,353,301","241,607",
ADL-MEL,2015,12,"198,179","1,620",79.1,643,"127,429,097","161,047,709","250,463",
ADL-MEL,2016,1,"187,175","1,587",76,643,"120,353,525","158,302,099","246,193",
ADL-MEL,2016,2,"186,480","1,572",77,643,"119,906,640","155,750,032","242,224",
ADL-MEL,2016,3,"208,150","1,663",80.7,643,"133,840,450","165,889,499","257,993",
ADL-MEL,2016,4,"206,603","1,578",82.8,643,"132,845,729","160,451,005","249,535",
ADL-MEL,2016,5,"200,302","1,571",80.2,643,"128,794,186","160,557,100","249,700",
ADL-MEL,2016,6,"182,931","1,504",77.3,643,"117,624,633","152,189,098","236,686",
ADL-MEL,2016,7,"215,652","1,698",80.3,643,"138,664,236","172,742,593","268,651",
ADL-MEL,2016,8,"189,511","1,668",72.7,643,"121,855,573","167,716,262","260,834",
ADL-MEL,2016,9,"195,837","1,654",76.2,643,"125,923,191","165,319,801","257,107",
ADL-MEL,2016,10,"211,873","1,669",82.6,643,"136,234,339","164,937,216","256,512",
ADL-MEL,2016,11,"206,318","1,615",82.3,643,"132,662,474","161,288,834","250,838",
ADL-MEL,2016,12,"203,051","1,595",80.3,643,"130,561,793","162,688,645","253,015",
ADL-MEL,2017,1,"197,640","1,549",80.6,643,"127,043,490","157,535,139","245,073",
ADL-MEL,2017,2,"182,535","1,488",78.9,643,"117,337,745","148,676,270","231,290",
ADL-MEL,2017,3,"214,815","1,649",82,643,"138,085,105","168,377,020","261,940",
ADL-MEL,2017,4,"202,681","1,561",81,643,"130,283,583","160,841,445","250,245",
ADL-MEL,2017,5,"198,673","1,582",80.1,643,"127,714,009","159,461,952","248,064",
ADL-MEL,2017,6,"194,830","1,553",78.3,643,"125,243,870","159,967,479","248,853",
ADL-MEL,2017,7,"216,528","1,625",82.8,643,"139,189,824","168,118,276","261,532",
ADL-MEL,2017,8,"195,350","1,587",76.3,643,"125,576,970","164,650,577","256,139",
ADL-MEL,2017,9,"201,692","1,608",77.9,643,"129,652,086","166,457,407","258,949",
ADL-MEL,2017,10,"221,993","1,651",84.3,643,"142,703,919","169,377,913","263,491",
ADL-MEL,2017,11,"213,206","1,619",82,643,"137,053,028","167,206,382","260,114",
ADL-MEL,2017,12,"216,483","1,655",80.9,643,"139,153,669","171,997,753","267,571",
ADL-MEL,2018,1,"200,967","1,595",78.6,643,"129,184,121","164,285,498","255,566",
ADL-MEL,2018,2,"191,022","1,523",78.4,643,"122,791,746","156,631,106","243,662",
ADL-MEL,2018,3,"221,754","1,688",80.6,643,"142,544,292","176,901,914","275,198",
ADL-MEL,2018,4,"215,390","1,583",83.7,643,"138,438,140","165,320,587","257,209",
ADL-MEL,2018,5,"200,029","1,567",79.3,643,"128,566,477","162,191,654","252,338",
