Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2010,4,201004,Ayers Rock,Cairns,Ayers Rock - Cairns,808,1224.651357
2010,4,201004,Ayers Rock,Sydney,Ayers Rock - Sydney,638,966.9895616
2010,4,201004,Ballina,Sydney,Ballina - Sydney,158,239.473904
2010,4,201004,Brisbane,Cairns,Brisbane - Cairns,218,330.4133612
2010,4,201004,Brisbane,Canberra,Brisbane - Canberra,198,300.1002088
2010,4,201004,Brisbane,Darwin,Brisbane - Darwin,258,391.039666
2010,4,201004,Brisbane,Emerald,Brisbane - Emerald,246,372.8517745
2010,4,201004,Brisbane,Gladstone,Brisbane - Gladstone,182,275.8496868
2010,4,201004,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,209.1607516
2010,4,201004,Brisbane,Hobart,Brisbane - Hobart,358,542.605428
2010,4,201004,Brisbane,Mackay,Brisbane - Mackay,148.95,225.7572025
2010,4,201004,Brisbane,Melbourne,Brisbane - Melbourne,158,239.473904
2010,4,201004,Brisbane,Mount Isa,Brisbane - Mount Isa,544,824.5177453
2010,4,201004,Brisbane,Perth,Brisbane - Perth,404,612.3256785
2010,4,201004,Brisbane,Proserpine,Brisbane - Proserpine,138,209.1607516
2010,4,201004,Brisbane,Rockhampton,Brisbane - Rockhampton,88,133.3778706
2010,4,201004,Brisbane,Sydney,Brisbane - Sydney,138,209.1607516
2010,4,201004,Brisbane,Townsville,Brisbane - Townsville,148,224.3173278
2010,4,201004,Brisbane,Newcastle,Brisbane - Newcastle,78,118.2212944
2010,4,201004,Broome,Perth,Broome - Perth,298,451.6659708
2010,4,201004,Bundaberg,Brisbane,Bundaberg - Brisbane,170,257.6617954
2010,4,201004,Cairns,Melbourne,Cairns - Melbourne,378.95,574.3584551
2010,4,201004,Cairns,Sydney,Cairns - Sydney,258,391.039666
2010,4,201004,Cairns,Townsville,Cairns - Townsville,98,148.5344468
2010,4,201004,Canberra,Melbourne,Canberra - Melbourne,57,86.39248434
2010,4,201004,Canberra,Sydney,Canberra - Sydney,98,148.5344468
2010,4,201004,Coffs Harbour,Sydney,Coffs Harbour - Sydney,148,224.3173278
2010,4,201004,Darwin,Melbourne,Darwin - Melbourne,328,497.1356994
2010,4,201004,Darwin,Perth,Darwin - Perth,298,451.6659708
2010,4,201004,Darwin,Sydney,Darwin - Sydney,438,663.8580376
2010,4,201004,Devonport,Melbourne,Devonport - Melbourne,198,300.1002088
2010,4,201004,Dubbo,Sydney,Dubbo - Sydney,247.22,374.7008768
2010,4,201004,Geraldton,Perth,Geraldton - Perth,277,419.8371608
2010,4,201004,Gold Coast,Sydney,Gold Coast - Sydney,57,86.39248434
2010,4,201004,Hamilton Island,Sydney,Hamilton Island - Sydney,238,360.7265136
2010,4,201004,Hervey Bay,Sydney,Hervey Bay - Sydney,230,348.6012526
2010,4,201004,Hobart,Melbourne,Hobart - Melbourne,56,84.87682672
2010,4,201004,Hobart,Sydney,Hobart - Sydney,178,269.7870564
2010,4,201004,Kalgoorlie,Perth,Kalgoorlie - Perth,359,544.1210856
2010,4,201004,Karratha,Perth,Karratha - Perth,398,603.2317328
2010,4,201004,Launceston,Melbourne,Launceston - Melbourne,47,71.23590814
2010,4,201004,Launceston,Sydney,Launceston - Sydney,174,263.7244259
2010,4,201004,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,137,207.6450939
2010,4,201004,Sunshine Coast,Sydney,Sunshine Coast - Sydney,138,209.1607516
2010,4,201004,Melbourne,Gold Coast,Melbourne - Gold Coast,117,177.3319415
2010,4,201004,Melbourne,Mildura,Melbourne - Mildura,178,269.7870564
2010,4,201004,Melbourne,Perth,Melbourne - Perth,296,448.6346555
2010,4,201004,Melbourne,Sydney,Melbourne - Sydney,57,86.39248434
2010,4,201004,Melbourne,Newcastle,Melbourne - Newcastle,108,163.691023
2010,4,201004,Paraburdoo,Perth,Paraburdoo - Perth,429,650.217119
2010,4,201004,Perth,Newman,Perth - Newman,368,557.7620042
2010,4,201004,Perth,Port Hedland,Perth - Port Hedland,298,451.6659708
2010,4,201004,Perth,Sydney,Perth - Sydney,388,588.0751566
2010,4,201004,Port Macquarie,Sydney,Port Macquarie - Sydney,118,178.8475992
2010,4,201004,Sydney,Tamworth,Sydney - Tamworth,190,287.9749478
2010,4,201004,Sydney,Townsville,Sydney - Townsville,238,360.7265136
2010,4,201004,Sydney,Wagga Wagga,Sydney - Wagga Wagga,213.92,324.2294781
2010,4,201004,Newcastle,Gold Coast,Newcastle - Gold Coast,148,224.3173278
2010,5,201005,Adelaide,Alice Springs,Adelaide - Alice Springs,318,481.9791232
2010,5,201005,Adelaide,Brisbane,Adelaide - Brisbane,96,145.5031315
2010,5,201005,Adelaide,Canberra,Adelaide - Canberra,278,421.3528184
2010,5,201005,Adelaide,Darwin,Adelaide - Darwin,378.95,574.3584551
2010,5,201005,Adelaide,Gold Coast,Adelaide - Gold Coast,96,145.5031315
2010,5,201005,Adelaide,Melbourne,Adelaide - Melbourne,56,84.87682672
2010,5,201005,Adelaide,Perth,Adelaide - Perth,298,451.6659708
2010,5,201005,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,269.2717328
2010,5,201005,Adelaide,Sydney,Adelaide - Sydney,76,115.1899791
2010,5,201005,Albury,Sydney,Albury - Sydney,150,227.348643
2010,5,201005,Alice Springs,Darwin,Alice Springs - Darwin,568,860.8935282
2010,5,201005,Alice Springs,Melbourne,Alice Springs - Melbourne,206,312.2254697
2010,5,201005,Alice Springs,Sydney,Alice Springs - Sydney,658,997.302714
2010,5,201005,Avalon,Brisbane,Avalon - Brisbane,188,284.9436326
2010,5,201005,Avalon,Sydney,Avalon - Sydney,78,118.2212944
2010,5,201005,Ayers Rock,Cairns,Ayers Rock - Cairns,698,1057.929019
2010,5,201005,Ayers Rock,Sydney,Ayers Rock - Sydney,527,798.7515658
2010,5,201005,Ballina,Sydney,Ballina - Sydney,198,300.1002088
2010,5,201005,Brisbane,Cairns,Brisbane - Cairns,208,315.256785
2010,5,201005,Brisbane,Canberra,Brisbane - Canberra,219,331.9290188
2010,5,201005,Brisbane,Darwin,Brisbane - Darwin,398,603.2317328
2010,5,201005,Brisbane,Emerald,Brisbane - Emerald,246,372.8517745
2010,5,201005,Brisbane,Gladstone,Brisbane - Gladstone,182,275.8496868
2010,5,201005,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,239.473904
2010,5,201005,Brisbane,Mackay,Brisbane - Mackay,168.95,256.0703549
2010,5,201005,Brisbane,Melbourne,Brisbane - Melbourne,116,175.8162839
2010,5,201005,Brisbane,Mount Isa,Brisbane - Mount Isa,582,882.1127349
2010,5,201005,Brisbane,Perth,Brisbane - Perth,494,748.7348643
2010,5,201005,Brisbane,Proserpine,Brisbane - Proserpine,148.95,225.7572025
2010,5,201005,Brisbane,Rockhampton,Brisbane - Rockhampton,38,57.59498956
2010,5,201005,Brisbane,Sydney,Brisbane - Sydney,128,194.0041754
2010,5,201005,Brisbane,Townsville,Brisbane - Townsville,188,284.9436326
2010,5,201005,Brisbane,Newcastle,Brisbane - Newcastle,108,163.691023
2010,5,201005,Broome,Perth,Broome - Perth,378,572.9185804
2010,5,201005,Bundaberg,Brisbane,Bundaberg - Brisbane,210,318.2881002
2010,5,201005,Cairns,Melbourne,Cairns - Melbourne,479.9,727.3640919
2010,5,201005,Cairns,Sydney,Cairns - Sydney,354,536.5427975
2010,5,201005,Cairns,Townsville,Cairns - Townsville,118,178.8475992
2010,5,201005,Canberra,Melbourne,Canberra - Melbourne,76,115.1899791
2010,5,201005,Canberra,Sydney,Canberra - Sydney,154,233.4112735
2010,5,201005,Coffs Harbour,Sydney,Coffs Harbour - Sydney,210,318.2881002
2010,5,201005,Darwin,Melbourne,Darwin - Melbourne,388.95,589.5150313
2010,5,201005,Darwin,Perth,Darwin - Perth,448,679.0146138
2010,5,201005,Darwin,Sydney,Darwin - Sydney,418.95,634.9847599
2010,5,201005,Devonport,Melbourne,Devonport - Melbourne,198,300.1002088
2010,5,201005,Dubbo,Sydney,Dubbo - Sydney,248,375.8830898
2010,5,201005,Geraldton,Perth,Geraldton - Perth,313.14,474.6130271
2010,5,201005,Gold Coast,Sydney,Gold Coast - Sydney,56,84.87682672
2010,5,201005,Hamilton Island,Sydney,Hamilton Island - Sydney,318,481.9791232
2010,5,201005,Hervey Bay,Sydney,Hervey Bay - Sydney,250,378.914405
2010,5,201005,Hobart,Melbourne,Hobart - Melbourne,76,115.1899791
2010,5,201005,Hobart,Sydney,Hobart - Sydney,198,300.1002088
2010,5,201005,Kalgoorlie,Perth,Kalgoorlie - Perth,257.37,390.0848017
2010,5,201005,Karratha,Perth,Karratha - Perth,318.12,482.1610021
2010,5,201005,Launceston,Melbourne,Launceston - Melbourne,73,110.6430063
2010,5,201005,Launceston,Sydney,Launceston - Sydney,229.9,348.4496868
2010,5,201005,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,146,221.2860125
2010,5,201005,Sunshine Coast,Sydney,Sunshine Coast - Sydney,158,239.473904
2010,5,201005,Melbourne,Gold Coast,Melbourne - Gold Coast,156,236.4425887
2010,5,201005,Melbourne,Mildura,Melbourne - Mildura,198,300.1002088
2010,5,201005,Melbourne,Perth,Melbourne - Perth,126,190.9728601
2010,5,201005,Melbourne,Sydney,Melbourne - Sydney,56,84.87682672
2010,5,201005,Melbourne,Newcastle,Melbourne - Newcastle,144,218.2546973
2010,5,201005,Paraburdoo,Perth,Paraburdoo - Perth,409,619.9039666
2010,5,201005,Perth,Newman,Perth - Newman,378,572.9185804
2010,5,201005,Perth,Port Hedland,Perth - Port Hedland,368,557.7620042
2010,5,201005,Perth,Sydney,Perth - Sydney,328,497.1356994
2010,5,201005,Port Macquarie,Sydney,Port Macquarie - Sydney,158,239.473904
2010,5,201005,Sydney,Tamworth,Sydney - Tamworth,190,287.9749478
